xh,xzqh,xqmc,wjwfbsj,lat,lon
1,深圳市福田区,水围九街,2月22日,22.52504852,114.0570706
2,深圳市龙岗区,佳兆业·中央广场一期,2月16日,22.65625598,114.0638197
3,深圳市宝安区,万科·金色领域一期（宝安大道）,2月16日,22.65727855,113.8046286
4,深圳市南山区,鼎太风华二期,2月16日,22.51789587,113.9000651
5,深圳市福田区,鑫竹苑,2月16日,22.53392928,114.0062522
6,深圳市宝安区,华润万家（宝安店）,2月15日,22.56330525,113.900095
7,深圳市宝安区,宝民社区灶下村,2月15日,22.56894407,113.8937048
8,深圳市南山区,西海明珠,2月15日,22.53357082,113.9251615
9,深圳市福田区,益田村,2月15日,22.51724201,114.0481107
10,深圳市龙岗区,锦航酒店,2月14日,22.60914103,114.149299
11,深圳市龙岗区,百合星城二期,2月14日,22.59949478,114.1162759
12,深圳市福田区,福宁街桐林公寓,2月14日,22.53503453,114.0736492
13,深圳市福田区,新世界·四季山水一期,2月14日,22.57385431,114.0408003
14,深圳市龙华区,花半里,2月13日,22.72339627,114.2304791
15,深圳市龙华区,西头新村四区,2月13日,22.64492689,114.0117804
16,深圳市宝安区,潭头社区四村,2月13日,22.7532446,113.8427305
17,深圳市宝安区,沙井西荟城,2月13日,22.73477694,113.8121777
18,深圳市坪山区,汤坑社区东方丽园,2月12日,22.67997281,114.3093255
19,深圳市盐田区,东海丽景花园,2月12日,22.59314454,114.2535022
20,深圳市福田区,玮鹏花园,2月12日,22.54486678,114.0895181
21,深圳市龙岗区,上木古社区岭根吓,2月12日,22.66922323,114.1118643
22,深圳市龙岗区,新亚洲花园,2月12日,22.71805746,114.2312887
23,深圳市龙岗区,正大时代华庭,2月12日,22.64970302,114.1765102
24,深圳市宝安区,东方社区上头田新村,2月12日,22.76166631,113.8410188
25,深圳市南山区,花园城一期,2月12日,22.50671115,113.9177447
26,深圳市宝安区,金泓凯旋城,2月11日,22.55058153,113.8936121
27,深圳市南山区,御景峰,2月11日,22.60084288,114.007117
28,深圳市南山区,珠光村西区,2月10日12时,22.5749619,113.9554008
29,深圳市福田区,海田路1008号雅颂居,2月9日12时,22.54649563,114.0615248
30,深圳市福田区,下沙花好园,2月9日12时,22.53112825,114.0202258
31,深圳市福田区,金地名津,2月9日12时,22.51859769,114.0684582
32,深圳市龙岗区,万科麓城,2月9日12时,22.6259927,114.0987957
33,深圳市龙岗区,金德丰雅居,2月9日12时,22.69268699,114.1078908
34,深圳市宝安区,松岗街道红星村温屋,2月9日12时,22.76921131,113.8313433
35,深圳市宝安区,丽枫酒店（深圳海雅缤纷城店）,2月9日12时,22.56083672,113.9014697
36,深圳市南山区,艺华花园,2月9日12时,22.55101109,113.926252
37,深圳市罗湖区,嘉宝田花园,2月9日12时,22.56048624,114.106052
38,深圳市盐田区,京基洲际度假酒店,2月9日12时,22.60045235,114.309816
39,深圳市龙岗区,全伟达工业园,2月8日12时,22.63100978,114.0958081
40,深圳市龙岗区,杨美社区长坑三区,2月8日12时,22.62985256,114.0753403
41,深圳市南山区,西丽塘朗城,2月8日12时,22.59207914,113.9956139
42,深圳市南山区,水木华庭,2月8日12时,22.56549453,113.9753086
43,深圳市南山区,招商街道沿山路63号,2月8日12时,22.50297935,113.9144227
44,深圳市宝安区,金港华庭,2月8日12时,22.58514024,113.8563901
45,深圳市福田区,新洲牌坊街雅庭精品酒店,2月8日12时,22.52884425,114.0408061
46,深圳市罗湖区,海陇华苑,2月8日12时,22.54950701,114.1274442
47,深圳市龙岗区,华为荔枝苑,2月7日24时,22.63641025,114.0692381
48,深圳市龙岗区,德兴花园德贵苑,2月7日24时,22.59236742,114.1060415
49,深圳市南山区,天鹅湖花园,2月7日24时,22.55024463,113.9784138
50,深圳市南山区,留仙居南A区,2月7日24时,22.58468211,113.9457637
51,深圳市宝安区,永丰社区六区,2月7日24时,22.57570544,113.8625345
52,深圳市宝安区,怀德公元,2月7日24时,22.67174902,113.8223632
53,深圳市福田区,梅林山水居,2月7日24时,22.5738537,114.0385687
54,深圳市罗湖区,松园北街38号大院,2月7日24时,22.55646389,114.1025435
55,深圳市龙岗区,山厦社区南油花园,2月6日24时,22.69940412,114.1050793
56,深圳市龙岗区,卓然居,2月6日24时,22.64585517,114.1646218
57,深圳市龙岗区,家和花园南区,2月6日24时,22.61433094,114.0562984
58,深圳市龙岗区,远洋新干线君域花园,2月6日24时,22.72102543,114.2596691
59,深圳市龙岗区,鼎尚华庭,2月6日24时,22.77518925,114.2953857
60,深圳市龙岗区,雪象花园新村,2月6日24时,22.65335824,114.0702059
61,深圳市龙岗区,禾坪岗禾坪路5号,2月6日24时,22.6596011,114.0618148
62,深圳市南山区,水木丹华,2月6日24时,22.59448879,113.9844678
63,深圳市南山区,大磡1村,2月6日24时,22.6250254,113.970884
64,深圳市南山区,万科云城一期,2月6日24时,22.57620766,113.936409
65,深圳市南山区,汉庭优佳酒店（西丽地铁站店）,2月6日24时,22.58172889,113.9499069
66,深圳市宝安区,松新石岗大楼,2月6日24时,22.76960228,113.8354231
67,深圳市宝安区,福中福幸福海岸,2月6日24时,22.56240113,113.8745197
68,深圳市宝安区,鸿景园,2月6日24时,22.5776897,113.8858667
69,深圳市宝安区,一尚领航优品酒店,2月6日24时,22.6118119,113.8431956
70,深圳市福田区,新洲花园,2月6日24时,22.52924698,114.0429679
71,深圳市福田区,金地香蜜山,2月6日24时,22.5568351,114.0119906
72,深圳市福田区,下沙村四坊,2月6日24时,22.52743104,114.0206837
73,深圳市罗湖区,东方颐园,2月6日24时,22.55227996,114.1215437
74,深圳市罗湖区,天景花园,2月6日24时,22.56280288,114.1369719
75,深圳市光明区,玉律村一区,2月6日24时,22.71831435,113.8853465
76,深圳市南山区,诺德假日花园,2月5日24时,22.512983349,113.898292398
77,深圳市南山区,东方花园,2月5日24时,22.535384555,113.974602189
78,深圳市南山区,海景嘉途酒店,2月5日24时,22.537565543,113.981498876
79,深圳市南山区,雷公岭村,2月5日24时,22.494154593,113.923507467
80,深圳市南山区,海淮路与海天一路交界处工地生活区,2月5日24时,22.527433604,113.939513042
81,深圳市龙岗区,布吉海心汇福园,2月5日24时,22.620748587,114.105824997
82,深圳市龙岗区,吉信街如家酒店,2月5日24时,22.603941431,114.111866884
83,深圳市龙岗区,和磡村和磡路3号,2月5日24时,22.62598776,114.058041337
84,深圳市福田区,香格里拉大酒店,2月5日24时,22.538989437,114.052516337
85,深圳市福田区,御锦公馆,2月5日24时,22.573437057,114.05284962
86,深圳市宝安区,荣泰园,2月5日24时,22.726749093,113.817399573
87,深圳市光明区,横岭新村,2月5日24时,22.782354023,113.878922888
88,深圳市福田区,香山美树苑,2月4日24时,22.543429108,114.009562434
89,深圳市福田区,下梅林河背村,2月4日24时,22.566789003,114.037817266
90,深圳市福田区,东海国际公寓,2月4日24时,22.539337493,114.014523939
91,深圳市福田区,园中花园,2月4日24时,22.554749337,114.094063491
92,深圳市南山区,大冲新城花园,2月4日24时,22.545930774,113.94540125
93,深圳市南山区,南光花园,2月4日24时,22.525138722,113.920366011
94,深圳市南山区,恒立心海湾花园,2月4日24时,22.50395701,113.89020843
95,深圳市罗湖区,海鹰大厦,2月4日24时,22.538130868,114.063564709
96,深圳市罗湖区,鸿翔花园,2月4日24时,22.556609041,114.101329274
97,深圳市龙华区,观湖街道观壹城,2月4日24时,22.719524735,114.063692154
98,深圳市龙华区,民治街道锦绣江南,2月4日24时,22.639489533,114.024591214
